fold_id,pair,cost_bps,threshold_bps,train_start,train_end,test_start,test_end,regime_lookback_bars,regime_persistence_ratio,regime_structural_abs_bps,regime_transient_abs_bps,execution_model,selected_on,frozen_during_test
3,binance/bitget,80,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,41.427675272674946,41.427675272674946,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/gate,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,10.73201575580039,10.73201575580039,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/gate,40,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,10.73201575580039,10.73201575580039,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/gate,80,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,10.73201575580039,10.73201575580039,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/hyperliquid,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,52.405350530766675,52.405350530766675,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/hyperliquid,40,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,52.405350530766675,52.405350530766675,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/hyperliquid,80,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,52.405350530766675,52.405350530766675,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/okx,20,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,18.405928400322388,18.405928400322388,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/okx,40,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,18.405928400322388,18.405928400322388,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
3,binance/okx,80,200,2026-06-14 07:00:00+00:00,2026-06-21 08:30:00+00:00,2026-06-21 08:30:00+00:00,2026-06-23 09:00:00+00:00,8,0.8,18.405928400322388,18.405928400322388,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
