group_type,group_value,threshold_bps,target_bps,horizon_minutes,event_count_total,hit_count,naive_hit_rate,eligible_event_count,completed_event_count,censored_event_count,observed_rate_complete_cases,rate_note
PAIR,binance/bitget,20,20,15,1587,1539,0.9697542533081286,1587,1587,0,0.9697542533081286,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,20,30,1587,1566,0.9867674858223062,1587,1587,0,0.9867674858223062,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,20,60,1587,1575,0.9924385633270322,1587,1587,0,0.9924385633270322,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,20,240,1587,1584,0.998109640831758,1587,1587,0,0.998109640831758,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,20,1440,1587,1586,0.9993698802772527,1587,1587,0,0.9993698802772527,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,10,5,1587,228,0.14366729678638943,1587,1587,0,0.14366729678638943,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,10,15,1587,432,0.2722117202268431,1587,1587,0,0.2722117202268431,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,10,30,1587,613,0.38626339004410837,1587,1587,0,0.38626339004410837,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,10,60,1587,815,0.5135475740390675,1587,1587,0,0.5135475740390675,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,10,240,1587,1251,0.7882797731568998,1587,1587,0,0.7882797731568998,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,10,1440,1587,1483,0.9344675488342785,1587,1587,0,0.9344675488342785,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,0,5,1587,51,0.03213610586011342,1587,1587,0,0.03213610586011342,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,0,15,1587,98,0.06175173282923756,1587,1587,0,0.06175173282923756,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,0,30,1587,159,0.1001890359168242,1587,1587,0,0.1001890359168242,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,0,60,1587,244,0.15374921235034655,1587,1587,0,0.15374921235034655,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,0,240,1587,598,0.37681159420289856,1587,1587,0,0.37681159420289856,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,0,1440,1587,1281,0.8071833648393195,1587,1587,0,0.8071833648393195,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,20,5,126,115,0.9126984126984127,126,126,0,0.9126984126984127,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,20,15,126,124,0.9841269841269841,126,126,0,0.9841269841269841,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,20,30,126,125,0.9920634920634921,126,126,0,0.9920634920634921,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,20,60,126,125,0.9920634920634921,126,126,0,0.9920634920634921,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,20,240,126,125,0.9920634920634921,126,126,0,0.9920634920634921,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,20,1440,126,125,0.9920634920634921,126,126,0,0.9920634920634921,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,10,5,126,36,0.2857142857142857,126,126,0,0.2857142857142857,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,10,15,126,51,0.40476190476190477,126,126,0,0.40476190476190477,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/gate,20,10,30,126,58,0.4603174603174603,126,126,0,0.4603174603174603,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
