pair,strategy_direction,entry_threshold_bps,exit_rule,event_count,median_gross_bps,max_drawdown_proxy_bps,positive_event_count_10bps,positive_event_ratio_10bps,median_net_10bps,p05_net_10bps,p95_net_10bps,positive_event_count_20bps,positive_event_ratio_20bps,median_net_20bps,p05_net_20bps,p95_net_20bps,positive_event_count_40bps,positive_event_ratio_40bps,median_net_40bps,p05_net_40bps,p95_net_40bps,positive_event_count_80bps,positive_event_ratio_80bps,median_net_80bps,p05_net_80bps,p95_net_80bps,positive_event_count_120bps,positive_event_ratio_120bps,median_net_120bps,p05_net_120bps,p95_net_120bps
binance/bitget,funding_optimal_trailing_24h,150,target_20bps,9,-123.86821225102976,182.48092517494746,3,0.3333333333333333,-133.86821225102977,-145.35608989197868,149.91112663006837,3,0.3333333333333333,-143.86821225102977,-155.35608989197868,139.91112663006837,3,0.3333333333333333,-163.86821225102977,-175.35608989197868,119.91112663006837,3,0.3333333333333333,-203.86821225102977,-215.35608989197868,79.91112663006837,1,0.1111111111111111,-243.86821225102977,-255.3560898919787,39.91112663006836
binance/bitget,funding_optimal_trailing_24h,200,hold_1h,4,-22.153749823997607,228.60821610373216,2,0.5,-32.15374982399761,-228.3238386797665,219.59401979690912,2,0.5,-42.15374982399761,-238.3238386797665,209.59401979690912,2,0.5,-62.15374982399761,-258.32383867976654,189.59401979690912,2,0.5,-102.1537498239976,-298.32383867976654,149.59401979690912,2,0.5,-142.1537498239976,-338.32383867976654,109.59401979690912
binance/bitget,funding_optimal_trailing_24h,200,hold_24h,4,-4.077598583380862,308.36849785884226,2,0.5,-14.077598583380862,-227.0899957632317,232.20745580188446,2,0.5,-24.077598583380862,-237.0899957632317,222.20745580188446,2,0.5,-44.07759858338086,-257.08999576323174,202.20745580188446,2,0.5,-84.07759858338086,-297.08999576323174,162.20745580188446,2,0.5,-124.07759858338086,-337.08999576323174,122.20745580188446
binance/bitget,funding_optimal_trailing_24h,200,hold_4h,4,-30.21398218863615,247.1896749083069,2,0.5,-40.21398218863615,-217.10967268929207,223.17178682629154,2,0.5,-50.21398218863615,-227.10967268929207,213.17178682629154,2,0.5,-70.21398218863615,-247.10967268929207,193.17178682629154,2,0.5,-110.21398218863615,-287.1096726892921,153.17178682629154,1,0.25,-150.21398218863612,-327.1096726892921,113.17178682629152
binance/bitget,funding_optimal_trailing_24h,200,hold_72h,4,7.544409402208245,308.36849785884226,2,0.5,-2.4555905977917547,-217.14530772307572,236.7828470465607,2,0.5,-12.455590597791755,-227.14530772307572,226.7828470465607,2,0.5,-32.455590597791755,-247.14530772307572,206.7828470465607,2,0.5,-72.45559059779175,-287.1453077230757,166.7828470465607,2,0.5,-112.45559059779177,-327.1453077230757,126.7828470465607
binance/bitget,funding_optimal_trailing_24h,200,hold_8h,4,-30.281267143010012,247.1896749083069,2,0.5,-40.28126714301001,-221.03529496442738,221.0594906963878,2,0.5,-50.28126714301001,-231.03529496442738,211.0594906963878,2,0.5,-70.28126714301001,-251.03529496442735,191.0594906963878,2,0.5,-110.28126714301001,-291.03529496442735,151.0594906963878,1,0.25,-150.28126714301,-331.03529496442735,111.05949069638781
binance/bitget,funding_optimal_trailing_24h,200,next_krx_open,4,-30.902793036886358,247.1896749083069,2,0.5,-40.90279303688636,-235.03130457095168,217.3450091925125,2,0.5,-50.90279303688636,-245.03130457095168,207.3450091925125,2,0.5,-70.90279303688635,-265.0313045709517,187.3450091925125,2,0.5,-110.90279303688638,-305.0313045709517,147.3450091925125,1,0.25,-150.90279303688638,-345.0313045709517,107.34500919251248
binance/bitget,funding_optimal_trailing_24h,200,stop_100bps,3,-116.70305419254012,170.9424853842138,0,0.0,-126.70305419254012,-175.51854226504642,-115.76716950983023,0,0.0,-136.70305419254012,-185.51854226504642,-125.76716950983023,0,0.0,-156.70305419254012,-205.51854226504642,-145.76716950983024,0,0.0,-196.70305419254012,-245.51854226504642,-185.76716950983024,0,0.0,-236.70305419254012,-285.51854226504645,-225.76716950983024
binance/bitget,funding_optimal_trailing_24h,200,stop_50bps,3,-70.18958209363794,170.9424853842138,0,0.0,-80.18958209363794,-170.8671950551562,-76.88196600701136,0,0.0,-90.18958209363794,-180.8671950551562,-86.88196600701136,0,0.0,-110.18958209363794,-200.8671950551562,-106.88196600701136,0,0.0,-150.18958209363794,-240.8671950551562,-146.88196600701136,0,0.0,-190.18958209363794,-280.86719505515623,-186.88196600701136
binance/bitget,funding_optimal_trailing_24h,200,target_10bps,3,-192.69590546400175,268.47412231581166,1,0.3333333333333333,-202.69590546400175,-250.92260063063068,164.4759269727671,1,0.3333333333333333,-212.69590546400175,-260.92260063063065,154.4759269727671,1,0.3333333333333333,-232.69590546400175,-280.92260063063065,134.4759269727671,1,0.3333333333333333,-272.6959054640017,-320.92260063063065,94.4759269727671,1,0.3333333333333333,-312.6959054640017,-360.92260063063065,54.47592697276709
binance/bitget,funding_optimal_trailing_24h,200,target_20bps,4,-6.956645247163067,249.0520743406999,2,0.5,-16.956645247163067,-228.8212918129284,208.64455819354316,2,0.5,-26.956645247163067,-238.8212918129284,198.64455819354316,2,0.5,-46.95664524716307,-258.8212918129284,178.64455819354316,2,0.5,-86.95664524716307,-298.8212918129284,138.64455819354316,2,0.5,-126.95664524716308,-338.8212918129284,98.64455819354316
binance/bitget,price_convergence,20,hold_1h,1586,2.948035507435252,315.3936719215553,271,0.1708701134930643,-7.051964492564748,-20.330718532454533,10.248616539560064,84,0.05296343001261034,-17.05196449256475,-30.330718532454533,0.24861653956006435,18,0.011349306431273645,-37.05196449256475,-50.33071853245453,-19.751383460439936,2,0.0012610340479192938,-77.05196449256475,-90.33071853245454,-59.75138346043994,0,0.0,-117.05196449256475,-130.33071853245454,-99.75138346043994
binance/bitget,price_convergence,20,hold_24h,1553,2.948690562224506,334.3728500631424,559,0.35994848679974245,-7.051309437775494,-44.98683571380736,37.25310255256863,332,0.21377978106889892,-17.051309437775494,-54.98683571380736,27.253102552568627,118,0.07598197037990985,-37.051309437775494,-74.98683571380735,7.253102552568628,1,0.000643915003219575,-77.0513094377755,-114.98683571380735,-32.74689744743137,1,0.000643915003219575,-117.0513094377755,-154.98683571380735,-72.74689744743137
binance/bitget,price_convergence,20,hold_4h,1584,3.1544169857508297,330.8094831023725,397,0.25063131313131315,-6.84558301424917,-23.912259677575577,16.800793207751735,155,0.09785353535353536,-16.845583014249172,-33.91225967757558,6.800793207751735,22,0.013888888888888888,-36.84558301424917,-53.91225967757558,-13.199206792248265,1,0.0006313131313131314,-76.84558301424917,-93.91225967757558,-53.19920679224827,0,0.0,-116.84558301424917,-133.91225967757558,-93.19920679224826
binance/bitget,price_convergence,20,hold_72h,1439,-8.983817032770796,334.3728500631424,518,0.35997220291869353,-18.983817032770794,-81.58714614198915,57.91162134773484,333,0.231410701876303,-28.983817032770794,-91.58714614198915,47.91162134773484,196,0.13620569840166782,-48.983817032770794,-111.58714614198915,27.911621347734833,23,0.015983321751216122,-88.9838170327708,-151.58714614198914,-12.088378652265167,0,0.0,-128.9838170327708,-191.58714614198914,-52.08837865226516
