timestamp,gate_trade,gate_mark,gate_index,comparison_exchange,comparison_price,spread_bps,gate_volume,gate_raw_source_file,comparison_raw_source_file,warning_flags
2026-07-16 19:44:00+00:00,1210.0,1209.7,1208.92,bitget,1188.98,172.76168559374344,19352.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:45:00+00:00,1211.3,1211.3,1210.51,bitget,1190.41,173.95938726990246,27044.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:46:00+00:00,1210.0,1209.9,1209.22,bitget,1188.44,178.95711200246865,25872.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:47:00+00:00,1211.6,1211.3,1210.51,bitget,1189.98,177.57196162046856,9635.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:48:00+00:00,1213.3,1212.6,1211.78,bitget,1190.5,183.9290915900288,33265.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:49:00+00:00,1214.2,1214.0,1213.19,bitget,1191.8,184.55399451326,19836.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:50:00+00:00,1214.0,1214.6,1214.48,bitget,1192.56,183.12035759982692,21189.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-16 19:51:00+00:00,1215.4,1215.2,1214.68,bitget,1193.07,183.7833797705416,22602.0,data/raw/gate/b688ac94bc8c2adc7c345f2ef5ed42f83fe0aea8623375a495f0d76ad21010da.json,data/raw/bitget/ce14f1b1ac4e01e23fc1f60b27422a8097e15990d637e73b58f63e83328ee72f.json,
2026-07-19 23:50:00+00:00,1180.1,1179.9,1177.31,bitget,1176.74,26.817842351823625,134261.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/bitget/3eb6eb6b79b16c759f110eff74fb969589864e1fcf057f9a4ec6216d08398c82.json,
2026-07-19 23:51:00+00:00,1178.9,1178.8,1177.45,bitget,1176.53,19.27543061906384,224671.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/bitget/3eb6eb6b79b16c759f110eff74fb969589864e1fcf057f9a4ec6216d08398c82.json,
