group_type,group_value,population,threshold_bps,event_count_total,event_count_completed,event_count_right_censored,event_count_data_gap_censored,censoring_ratio,min_minutes,p25_minutes,median_minutes,p75_minutes,p90_minutes,p95_minutes,p99_minutes,max_observed_minutes,count_le_5m,ratio_le_5m,count_le_15m,ratio_le_15m,count_le_30m,ratio_le_30m,count_le_60m,ratio_le_60m,count_le_240m,ratio_le_240m,count_gt_240m,ratio_gt_240m,count_gt_1440m,ratio_gt_1440m
START_SESSION,US_PREMARKET,ALL_OBSERVED,20,941,939,2,0,0.0021253985122210413,1.0,1.0,2.0,4.0,15.0,42.0,247.80000000000007,3776.0,738,0.7842720510095643,849,0.9022316684378321,879,0.9341126461211477,902,0.9585547290116897,930,0.9883103081827843,11,0.011689691817215728,1,0.0010626992561105207
START_SESSION,US_REGULAR,ALL_OBSERVED,20,1573,1573,0,0,0.0,1.0,1.0,2.0,4.0,14.799999999999955,36.0,255.43999999999937,2865.0,1248,0.7933884297520661,1422,0.9040050858232677,1481,0.9415130324221234,1527,0.9707565162110616,1556,0.989192625556262,17,0.01080737444373808,6,0.003814367450731087
START_REGIME,GATE_REGIME_20260716_19,ALL_OBSERVED,20,747,747,0,0,0.0,1.0,1.0,2.0,6.0,23.0,58.69999999999993,483.0799999999999,2865.0,548,0.7336010709504686,643,0.8607764390896921,687,0.9196787148594378,710,0.9504685408299867,730,0.9772423025435074,17,0.022757697456492636,3,0.004016064257028112
START_REGIME,POST_GATE_REGIME,ALL_OBSERVED,20,2124,2120,4,0,0.0018832391713747645,1.0,1.0,2.0,4.0,12.0,24.0,107.76999999999998,1109.0,1739,0.818738229755179,1969,0.9270244821092278,2034,0.9576271186440678,2087,0.9825800376647834,2116,0.9962335216572504,8,0.003766478342749529,0,0.0
START_REGIME,PRE_GATE_REGIME,ALL_OBSERVED,20,5621,5621,0,0,0.0,1.0,1.0,2.0,4.0,13.0,31.0,246.0,3776.0,4440,0.789895036470379,5134,0.913360611990749,5338,0.949653086639388,5468,0.9727806440135207,5563,0.9896815513253869,58,0.010318448674613059,10,0.001779042874933286
PAIR_REGIME,binance/bitget|GATE_REGIME_20260716_19,ALL_OBSERVED,20,95,95,0,0,0.0,1.0,1.0,1.0,2.0,5.0,14.899999999999991,46.760000000000105,90.0,86,0.9052631578947369,90,0.9473684210526315,93,0.9789473684210527,94,0.9894736842105263,95,1.0,0,0.0,0,0.0
PAIR_REGIME,binance/bitget|POST_GATE_REGIME,ALL_OBSERVED,20,259,259,0,0,0.0,1.0,1.0,1.0,3.0,7.200000000000017,12.199999999999989,39.67999999999995,56.0,230,0.888030888030888,248,0.9575289575289575,253,0.9768339768339769,259,1.0,259,1.0,0,0.0,0,0.0
PAIR_REGIME,binance/bitget|PRE_GATE_REGIME,ALL_OBSERVED,20,2402,2402,0,0,0.0,1.0,1.0,2.0,4.0,9.900000000000091,20.0,166.90999999999804,2682.0,1963,0.8172356369691923,2245,0.9346378018318068,2311,0.9621149042464613,2349,0.9779350541215653,2384,0.9925062447960034,18,0.00749375520399667,3,0.0012489592006661116
PAIR_REGIME,binance/gate|GATE_REGIME_20260716_19,ALL_OBSERVED,20,118,118,0,0,0.0,1.0,1.0,2.0,4.75,14.0,18.599999999999966,907.6499999999983,1495.0,93,0.788135593220339,109,0.923728813559322,115,0.9745762711864406,116,0.9830508474576272,116,0.9830508474576272,2,0.01694915254237288,1,0.00847457627118644
PAIR_REGIME,binance/gate|POST_GATE_REGIME,ALL_OBSERVED,20,76,76,0,0,0.0,1.0,1.0,1.0,2.0,3.0,5.5,26.75,38.0,72,0.9473684210526315,73,0.9605263157894737,75,0.9868421052631579,76,1.0,76,1.0,0,0.0,0,0.0
